%time,field.layout.data_offset,field.data0,field.data1,field.data2
1629697327944987467,0,0.25,-2.31,-0.31
1629697327978491662,0,-0.21,-2.35,0.26
1629697328008739760,0,-1.48,-1.49,0.55
1629697328044618656,0,-1.88,-1.01,0.05
1629697328083885930,0,-1.36,-1.69,-0.39
1629697328107700319,0,-0.7,-2.27,-0.81
1629697328139538341,0,-0.35,-2.27,-0.89
1629697328171594149,0,-0.19,-1.92,-0.69
1629697328204662801,0,0.01,-1.87,-0.4
1629697328240709258,0,-0.16,-1.84,-0.12
1629697328268857967,0,-0.48,-1.79,0.17
1629697328302061226,0,-0.56,-1.82,0.22
1629697328337104051,0,-0.07,-2.12,-0.04
1629697328370147594,0,0.52,-2.34,0.25
1629697328404115498,0,0.37,-2.24,0.53
1629697328438000933,0,0.16,-1.59,0.46
1629697328473191157,0,0.37,-1.77,0.8
1629697328503913630,0,-0.31,-1.52,0.39
1629697328537659208,0,-0.98,-1.28,-0.28
1629697328569393905,0,-0.55,-1.81,-0.28
1629697328600388593,0,-0.25,-2.1,-0.1
1629697328633381813,0,-0.77,-1.5,-0.06
1629697328668166069,0,-0.82,-0.97,0.07
1629697328700362490,0,-0.61,-1.11,-0.07
1629697328733036366,0,-0.73,-1.31,-0.02
1629697328772151944,0,-0.47,-1.34,-0.02
1629697328796909321,0,-0.13,-1.22,-0.21
1629697328833959927,0,-0.05,-0.95,-0.35
1629697328865979683,0,-0.03,-0.95,-0.27
1629697328897436035,0,0.0,-0.84,-0.33
1629697328928659580,0,0.14,-0.78,-0.23
1629697328963519470,0,0.19,-0.62,-0.05
1629697328997592199,0,0.1,-0.62,0.19
1629697329029801344,0,-0.01,-0.58,0.29
1629697329060882741,0,-0.07,-0.48,0.2
1629697329095140853,0,0.09,-0.51,0.37
1629697329127987221,0,0.28,-0.27,-0.09
1629697329158486554,0,1.13,-1.03,-0.2
1629697329192344079,0,1.08,-1.39,0.75
1629697329222384491,0,-0.76,-0.14,0.23
1629697329255136627,0,-0.72,-0.04,0.3
1629697329297975962,0,-0.3,-1.28,0.9
1629697329328553338,0,-0.93,-0.63,0.92
1629697329363470509,0,-1.06,-0.34,0.19
1629697329386761436,0,-0.44,-1.05,-0.67
1629697329418552762,0,0.08,-1.32,-1.27
1629697329450627127,0,0.45,-1.21,-1.37
1629697329483704153,0,0.68,-1.0,-1.14
1629697329514989672,0,0.48,-0.75,-0.45
1629697329549805831,0,-0.24,-0.34,0.05
1629697329583281501,0,-0.4,-0.67,0.37
1629697329614556171,0,-0.49,-0.73,0.34
1629697329734354738,0,-0.35,-0.76,0.32
1629697329745986100,0,0.2,-0.76,0.51
1629697329746040176,0,0.4,-0.73,1.14
1629697329746058208,0,-0.18,-0.2,0.8
1629697329766591975,0,-0.21,-0.26,0.61
1629697329874031170,0,-0.18,-0.66,0.84
1629697329882530794,0,-0.27,-0.38,0.79
1629697329882599215,0,0.01,0.15,0.43
